Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2017-07-12,Bottr.Me,Technology,Chatbot creation tool,Bengalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed,0.0
2017-07-14,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed,0.0
2017-07-14,Qwikspec,Technology,Construction site operations and analytics platform,Bengalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed,4.482
2017-07-17,Chumbak,eCommerce,Designer consumer products Marketplace,Bengalore,Blacksoil Capital Pvt. Ltd,Private,14.11
2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bengalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed,16.6
2017-07-18,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private,33.2
2017-07-18,Mobiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private,0.0
2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed,0.0
2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed,0.0
2017-07-19,Hypernova Interactive,Technology,Mobile games creator,Bengalore,Kae Capital,Seed,0.0
2017-07-19,Rentmojo,Consumer Internet,Consumer Leasing Platform,Bengalore,"ain Capital Ventures, Renaud Laplanche",Private,83.0
2017-07-19,Aircto,Consumer Internet,AI powered recruitment platform,Bengalore,Francesco Cara,Seed,0.0
2017-07-20,Playablo,Technology,Gamified Learning App,Bengalore,ABI-Showatech (India) Ltd,Seed,4.98
2017-07-21,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed,5.81
2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed,1.66
2017-07-21,Fablestreet,eCommerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed,0.0
2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed,0.0
2017-07-25,Monkeybox,Consumer Internet,Healthy Food Delivery Platform,Bengalore,"Blume Ventures, NB Ventures, Nspira",Seed,0.0
2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bengalore,"Stellaris Venture Partners,",Private,9.96
2017-07-26,Byju,Consumer Internet,Mobile Learning App,Bengalore,Tencent Holdings,Private,290.5
2017-07-26,Creator Gurukul,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed,0.0
2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private,207.5
2017-07-27,Thinkerbell,Consumer Internet,Assisted Learning Startup,Bengalore,"Indian Angel Network, Anand Mahindra",Seed,1.66
2017-07-28,1Mg,eCommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private,124.5
2017-07-28,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Amen Dhyllon,Seed,0.0
2017-07-28,Bigstylist.Com,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private,10.375
2017-06-01,Gympik,Consumer Internet,online marketplace for discovering fitness centres,Bengalore,RoundGlass Partners,Seed,0.0
2017-06-02,Tripeur,Technology,Mobile based travel ERP platform,Bengalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed,0.0
2017-06-05,Rentmojo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bengalore,TVS Motor Company,Seed,1.9422
2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private,415.0
2017-06-06,Maxmywealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private,0.0
2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private,8.3
2017-06-06,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed,0.0
2017-06-06,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private,0.0
2017-06-06,Bhive Workspace,Consumer Internet,co-working spaces,Bengalore,Blume Ventures,Private,9.96
2017-06-06,Wayforward,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed,8.3
2017-06-06,Gyandhan,Consumer Internet,Education Marketplace,New Delhi,Sundaram Finance Holdings,Private,0.0
2017-06-07,Hungry Foal,Consumer Internet,For profit Social Venture,Gurgaon,SBI (Stand Up India Scheme),Private,0.0
2017-06-07,Ziploan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed,5.395
2017-06-08,Growfitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed,4.98
2017-06-08,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed,1.9256
2017-06-08,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private,12.45
2017-06-08,Abi Health,Technology,Unified Digital Health Platform,Bengalore,Norwest Venture Partners,Private,12.45
2017-06-09,Stockal,Consumer Internet,App-based Investment advisory Services,Bengalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed,2.905
2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed,2.49
2017-06-12,Esahai.In,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed,2.075
2017-06-12,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bengalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed,0.0
2017-06-12,Lending Kart,Consumer Internet,Online Lending platform,Ahemdabad,Yes Bank,Debt,64.74
2017-06-12,Boxx.Ai,Technology,Artificial Intelligence,Bengalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private,4.15
